originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
Generalized Competitive Suppression,398.992908816231,-210.140413081206,-208.434075230154,361.324331288191,-201.307454556867,-184.624149548905,327.983719434063,-180.82831050748,-175.401088302364,435.890738479838,-230.1399458186,-227.838007052203,307.086072717969,-181.630552213105,-158.821564768865,372.261763487701,-209.664117721001,-190.04244058886,463.64732091459,-227.414692232568,-223.90077559794,566.081103088365,-388.380632683076,-238.287240197839
Generalized Direct Suppression,334.78059768916,-181.051718161686,-175.832143963768,231.80989232229,-133.827990999466,-124.179956221137,355.958683308535,-193.673720606789,-188.107313026837,358.050959521667,-190.731831887843,-186.020807537764,331.06727777747,-221.862488752047,-166.881292964041,197.251434893554,-114.494262816918,-106.837110743969,527.302682290154,-260.191387626175,-256.546446010612,544.485335660739,-440.243141107049,-194.262392978231
ROE Competitive Suppression,564.275277291027,-298.495226380922,-291.907146896167,585.907277543812,-328.811407749102,-288.146252293316,514.420839547533,-276.481314858132,-268.465849459555,582.571132561927,-310.452755033802,-302.405011470753,548.870431704342,-295.720743988888,-268.124523982943,582.474331291022,-317.415960062301,-288.798444398305,582.49997215,-283.160518377596,-291.186364374471,689.532417106779,-373.491780038703,-309.468664693271
ROE Direct Suppression,584.577409580861,-334.992711173761,-323.230697405224,634.387624311648,-352.164660511807,-322.639694109194,612.412015438103,-354.976114219646,-332.808380099425,574.717818822938,-325.875943119395,-316.69245636374,660.917486174569,-366.175327985017,-331.89978902742,624.908027299285,-348.91781929103,-315.444295759888,703.747410315776,-375.973810519862,-353.603966193241,668.381382454335,-424.930827544491,-323.133007020563
OML,303.306941874947,-167.062323803963,-161.82628804386,358.23045821356,-208.003701355926,-163.283315351354,384.174665482869,-214.090325149875,-202.707915938897,345.239068109985,-198.464471392792,-183.124981720093,445.787581005924,-254.292533102183,-205.360668850752,373.332163960399,-209.948366677234,-176.4074543647,558.075320504957,-280.981128144464,-274.253006741509,578.12783256387,-540.007293424482,-199.604773953598
GML,311.409881671488,-166.808320828487,-163.600568177767,203.839177642193,-110.600600092796,-101.759363665755,327.645351593336,-179.200444764622,-175.057347785937,363.448047115995,-194.148674118106,-191.001030475071,313.499619178333,-160.222413957402,-151.579920491512,230.549239306038,-139.616399668045,-115.679522017582,511.925270339477,-251.89695281682,-249.040440360023,598.641475862845,-513.321834533607,-209.79275113115
Competitive Suppression,373.622588878792,-204.490699073602,-197.726669726778,404.629778200388,-287.24438910224,-192.291144744755,306.278884181078,-170.081288493182,-161.615630486901,412.432347296753,-224.388718303678,-219.393378665523,358.058206123152,-657.441178939272,-165.214581075704,419.97363666483,-306.16772202734,-201.054210049017,476.20788727328,-237.398657144616,-230.060973617262,601.111081126467,-432.961110829745,-230.494485796471
Direct Suppression,351.314487425911,-191.637443594178,-186.438942215865,413.641694633818,-365.054454502172,-192.035370190048,428.48806354811,-233.260092418943,-224.540143800118,329.024002103013,-182.38029685657,-177.679397016738,492.329049629677,-265.532166672404,-226.067840236393,396.656791068062,-250.200628810428,-183.34182915456,585.387361271184,-305.148825540087,-285.716585731386,419.460089493472,-220.487836711684,-189.667873305016
Generalized Competitive Suppression,396.340416742323,-215.467779951769,-210.754956554261,354.605679220427,-303.769583769638,-182.439750591069,320.018581250664,-176.702036236806,-169.96824468973,436.805577161847,-237.517965412836,-232.740697239472,284.812017796806,-279.10158095576,-147.787121804664,368.095642304522,-246.866590837283,-191.317943033196,456.158478048734,-227.071461022815,-221.353873326288,593.649588855383,-402.371757766695,-246.075695289681
Generalized Direct Suppression,339.553749830461,-178.711720771303,-177.028295856224,247.941154226267,-153.734021121272,-131.178601650162,370.695300530736,-198.121922371886,-195.503664697962,368.558305196114,-193.431613684805,-191.445689948771,359.94190606879,-194.383314649643,-178.663676816867,222.423297764319,-130.564998691396,-118.182065276011,537.614625896372,-265.491347492763,-261.236807756541,556.183414762449,-470.152166662197,-195.775994219445
